System;Type;Name;InternalName;X-Coord;Y-Coord;Z-Coord;RotationSpeedX;RotationSpeedY;RotationSpeedZ;RotationAdjustmentX;RotationAdjustmentY;RotationAdjustmentZ;BodyRadius;OrbitalMarkerRadius;GRIDRadius
Stanton;Planet;Aberdeen;Stanton1b;12905757636;40955551;0;2.5999999;0;0;116.9448295;0;0;274000;402707;548000
Stanton;Planet;Arial;Stanton1a;12892673309;-31476129;0;5.51000023;0;0;38.5142349;0;0;344500;501541;689000
Stanton;Planet;ArcCorp;Stanton3;18587664740;-22151916920;0;3.1099999;0;0;230.8844272;0;0;800000;1151000;1900000
Stanton;Planet;Calliope;Stanton4a;22398369308;37168840679;0;4.59000015;0;0;212.4145472;0;0;240000;352245;480666
Stanton;Planet;Cellin;Stanton2a;-18987611119;-2709009661;0;4.44999981;0;0;253.6008872;0;0;260000;380528;520666
Stanton;Planet;Clio;Stanton4b;22476728221;37091020074;0;3.25;0;0;311.6916655;0;0;337170;489849;674334
Stanton;Planet;Crusader;Stanton2;-18962176000;-2664960000;0;5.0999999;0;0;300.5056215;0;0;7450000;10758000;15000000
Stanton;Planet;Daymar;Stanton2b;-18930539540;-2610158765;0;2.48000002;0;0;30.2954426;0;0;295000;430029;590000
Stanton;Planet;Euterpe;Stanton4c;22488109736;37081123565;0;4.28000021;0;0;269.161587;0;0;213000;314060;425666
Stanton;Planet;Hurston;Stanton1;12850457093;0;0;2.48000002;0;0;19.3888861;0;0;1000000;1438000;2000000
Stanton;Planet;Ita;Stanton1d;12830194716;114913609;0;4.8499999;0;0;243.1995839;0;0;325000;472452;650000
Stanton;Planet;Lyria;Stanton3a;18703607172;-22121650134;0;6.42999983;0;0;359.4217912;0;0;223000;383203;446000
Stanton;Planet;Magda;Stanton1c;12792686359;-74464581;0;1.94000006;0;0;242.7977464;0;0;340830;494840;681666
Stanton;Planet;MicroTech;Stanton4;22462016306;37185625646;0;4.11999989;0;0;217.2829681;0;0;1000000;1439000;2300000
Stanton;Planet;Wala;Stanton3b;18379649310;-22000466768;0;6.32000017;0;0;135.56548;0;0;283000;413056;566300
Stanton;Planet;Yela;Stanton2c;-19022916799;-2613996152;0;1.8200005;0;0;218.8119445;0;0;313000;455482;1016000
Stanton;Star;Stanton Star;InternalName;136049870;1294427400;2923345368;0;0;0;0;0;0;696000;0;GRIDRadius
Stanton;RestStop;ARC-L1-Station;InternalName;-1946178.845;-3262392.735;3147922.192;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;CRU-L1-Station;InternalName;-1279569569;-2246919818;-4195881979;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;HUR-L1-Station;InternalName;-1740752255;-3262392735;3147922192;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;HUR-L2-Station;InternalName;-3496591017;5084344727;2490051996;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;HUR-L3-Station;InternalName;3834139856;-5216795827;-4718270974;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;HUR-L4-Station;InternalName;-1088098631;2058350356;1317405788;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;HUR-L5-Station;InternalName;-6886053223;-5700833008;448659982.7;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;RestStop;MIC-L1-Station;InternalName;-1946178845;-3262392735;3147922192;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;ARC-L1;InternalName;16729134637;-19937006925;8076.625;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;ARC-L2;InternalName;20446718503;-24367450991;8076.625;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;ARC-L3;InternalName;-25043446884;14458841788;8076.625;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;ARC-L4;InternalName;28478354916;5021502483;8076.625;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;ARC-L5;InternalName;-9890422516;-27173732225;8076.625;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;CRU-L1;InternalName;-17065957376;-2398464000;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;CRU-L2;InternalName;0;0;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;CRU-L3;InternalName;18962176000;2664960000;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;CRU-L4;InternalName;-7173168640;-17754204160;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;CRU-L5;InternalName;-11789008988;15089246107;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;MIC-L1;InternalName;20215808583;33466996828;767.452183;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;HUR-L1;InternalName;11565411328;0;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;HUR-L2;InternalName;14135502848;0;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;HUR-L3;InternalName;-12850457600;-1123.422729;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;HUR-L4;InternalName;6425228288;11128823808;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
Stanton;Lagrange;HUR-L5;InternalName;6425227776;-11128823808;0;0;0;0;0;0;0;BodyRadius;0;GRIDRadius
