System;ObjectContainer;Type;Name;Planetary X-Coord;Planetary Y-Coord;Planetary Z-Coord;Comment;Date
#CAVES
Stanton;Daymar;Cave;Sinkhole (Daymar);146.356;-177.106;-185.07;none;04.04.2021 12:24
Stanton;Hurston;Cave;Cave N80 (Hurston);-160.052;-65.455;985.626;none;unknown
#DRUGLABS
Stanton;Yela;Druglab;JumpTown (Yela);268.025;143.784;74.777;none;unknown
Stanton;Yela;Druglab;NT999 (Yela);-205.857;-73.781;224.297;none;unknown
Stanton;Daymar;Druglab;Nuen Waste Management (Daymar);-18.94326125;293.3409302;25.47839976;none;unknown
#EASTEREGGS
Stanton;Yela;Easteregg;Bennyhenge;-626.638;135.733;-1.819;none;unknown
#Stanton;Yela;Easteregg;GrimHex Hidden Appartment;0;0;0;none
Stanton;MicroTech;Easteregg;XMAS Campfire;520.693;419.260;743.714;none;01/07/2022 22:10:00
Stanton;MicroTech;Easteregg;Lakesite Chairs;524.873;425.683;737.102;none;01/07/2022 22:10:00
Stanton;MicroTech;Easteregg;Mountainsite Chairs;506.682;421.171;754.683;none;01/07/2022 22:10:00
Stanton;Hurston;Easteregg;Advocacy Badge on Hurston;766.550;-74.234;-640.243;none;01/07/2022 22:10:00
Stanton;MicroTech;Easteregg;The River;808.662;417.866;415.655;none;03.03.2022 23:1
Stanton;Magda;Easteregg;Sketto Rock;-334.600;45.704;50.231;none;09.04.2022
Stanton;MicroTech;Easteregg;CitCon19 Octagon;636.71;-152.548;758.528;none;11.09.2021 02:41
Stanton;MicroTech;Easteregg;Painted Rooftop by Jax McCleary;518.273;416.401;747.889;none;01.01.2022 16:50
Stanton;Hurston;Easteregg;Crashed Satelite (Lorville);-234.97;-783.368;577.749;none;08/18/2021 15:17:46
#PICOBALLS
Stanton;MicroTech;Picoball;#1 Calhoun Pass (MicroTech);938,28;-347.38;-31.71;none;01/07/2022 22:10:00
Stanton;MicroTech;Picoball;#2 Wolf Point (Daymar, imprecise);-4.419;279.0662;95.732;none;unknown
Stanton;MicroTech;Picoball;#3 Javelin (Daymar, imprecise);102.055;267.619;-70.856;none;unknown
Stanton;MicroTech;Picoball;#4 RestStop (HUR-L1, imprecise);0;0;0;none;unknown
Stanton;MicroTech;Picoball;#5 not found;0;0;0;none;unknown
Stanton;MicroTech;Picoball;#6 not found;0;0;0;none;unknown
Stanton;MicroTech;Picoball;#7 not found;0;0;0;none;unknown
Stanton;MicroTech;Picoball;#8 not found;0;0;0;none;unknown
Stanton;MicroTech;Picoball;#9 not found;0;0;0;none;unknown
#OUTPOSTS
Stanton;Daymar;Outpost;Shubin Mining SCD-1;126.025172;-149.5814689;221.253344;none;unknown
Stanton;Daymar;Outpost;Kudre Ore;146.6171542;-177.0932944;-184.862263;none;unknown
Stanton;Daymar;Outpost;Eager Flats Aid;200.5450636;-104.917274;190.0965948;none;unknown
Stanton;Daymar;Outpost;Kudre Ore Mine;81.00767024;-280.6833381;43.64869834;none;unknown
Stanton;Daymar;Outpost;Wolf Point Aid Shelter;-4.419782845;279.0666332;95.73265906;none;unknown
Stanton;Yela;Outpost;ArcCorp Mining Area 157;6.023;222.356;220.313;none;unknown
Stanton;Yela;Outpost;Kosso;-31.289;118.13;288.314;none;unknown
Stanton;Daymar;Outpost;ArcCorp Mining Area 141;-18.16699951;180.362167;-232.7599312;none;unknown
Stanton;Daymar;Outpost;Dunlow Ridge Aid Shelter;-51.84962316;280.93199;75.33128638;none;unknown
Stanton;MicroTech;Outpost;Derelict Outpost (Shubin);-154.543;-984.287;94.030;New;01.07.2022
Stanton;MicroTech;Outpost;Derelict Outpost (DC KH3);-458.432;807.417;-371.922;New;01.07.2022
Stanton;MicroTech;Outpost;Derelict Outpost (New Babbage #1);488.971;440.872;753.975;New;01.07.2022
Stanton;MicroTech;Outpost;Derelict Outpost (New Babbage #2);559.194;386.716;733.405;New;01.07.2022
Stanton;MicroTech;Outpost;Derelict Outpost (River);808.976;416.818;415.672;New;01.07.2022
